Sampling year;Date in;Date out;Station code;Station name;Season;Weeks;Latitude;Longitude;Station Description;Rational;Minilog ID;Minilog Lost;Collector ID;Collector Type;Surface ID;Num_collecteur;C intestinalis % cover;B schlosseri % cover;B schlosseri Color Morph;B violaceus % cover;B violaceus Color Morph;S clava % cover;D vexillum % cover;D listerianum % cover;A aspersa % cover;M membranacea % cover;C mutica % cover;C Pallasiana % cover;Molgula spp. % cover;Schizoporella spp. % cover;Other species;Comments Fauna;Sample Date;Sample time;Prob Depth;Data Prob;Temperture C;Sal ppt;O2 percent;O2 mg-l;SpCond - mS;Spc - mS;pH;pHmV;Chl ug-l;Sampler;Affiliation;Contact;Num_collecteur;Comments;Ech_genetique
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;4;Petri Dish;2;IM-17-036PE2;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-036PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;4;Petri Dish;3;IM-17-036PE3;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-036PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;4;Plate;1;IM-17-036PL;0;0;;0;;0;0;0;0;0;0;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-036PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;5;Petri Dish;1;IM-17-037PE1;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-037PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;5;Petri Dish;2;IM-17-037PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-037PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;5;Petri Dish;3;IM-17-037PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-037PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;5;Plate;1;IM-17-037PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-037PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;6;Petri Dish;1;IM-17-038PE1;0;0;;1;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-038PE1;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;6;Petri Dish;2;IM-17-038PE2;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-038PE2;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;6;Petri Dish;3;IM-17-038PE3;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-038PE3;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;6;Plate;1;IM-17-038PL;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-038PL;;
2017;2017-06-07;2017-10-13;IM-11;Lagune de Havre-aux-Maisons;Full;18.2857142857143;47.4151;-61.82713;Site aquicole;Site aquicole;10916619;No;7;Petri Dish;1;IM-17-039PE1;0;0;;0;;0;0;0;0;0;1;;;;;;2017-10-13;0.452083333333333;2;YSI;11.3;28.9;NA;NA;NA;NA;NA;NA;NA;Merinov;Îles-de-la-Madeleine;Madeleine Nadeau;IM-17-039PE1;;
