11:34:39 From  Jon Pye (OTN)  to  Everyone : une important page du reference, aujourd'hui et en futur :)
11:35:55 From  Jon Pye (OTN)  to  Everyone : cherchons le carte de bingo :)
11:39:49 From  claudenozeres  to  Everyone : Exemple d’un autre standard que DwC: ABCD, mieux connu en musées pour les spécimens. https://www.tdwg.org/standards/abcd/
11:43:24 From  Jon Pye (OTN)  to  Everyone : des standards sont comme les brosses a dents. tous le monde est d'accord qu'ils sont importants, tous le monde veut qu'on les utilisent, mais c'est difficile a convaincre la monde d'utiliser la votre. :)
11:44:04 From  Sandra V  to  Everyone : :)
11:48:36 From  Jon Pye (OTN)  to  Everyone : https://dwc.tdwg.org/terms/
11:48:59 From  Jon Pye (OTN)  to  Everyone : n'importe quand j'entend 'guide rapide' je vais re-afficher la lien :)
11:53:30 From  Gabriel Leblanc (OGSL)  to  Everyone : À l'OGSL, on recommande de plus en plus l'utilisation du terme "TaxonRank". Pour les raisons exposées par Julie!
12:00:33 From  Pauline Chauvet  to  Everyone : https://dwc.tdwg.org/terms/#dwc:typeStatus
12:01:05 From  Virginie Roy  to  Everyone : dans le Darwin Core, est-ce qu'il y a un champs pour décrire un indice de qualité de l'identification, ou un champs pour désigner si une vérification de l'identification a été réalisée par une autre personne ?
12:01:33 From  Virginie Roy  to  Everyone : c'Est que le taxon d'origine inscrit est peut-être faux
12:02:52 From  claudenozeres  to  Everyone : Oui, mais sont pas des termes obligatoires. Exemples des termes: http://rs.tdwg.org/dwc/terms/identifiedBy, 	http://rs.tdwg.org/dwc/terms/identificationVerificationStatus
12:03:25 From  Virginie Roy  to  Everyone : super !
12:03:49 From  claudenozeres  to  Everyone : identificationVerificationStatus: A categorical indicator of the extent to which the taxonomic identification has been verified to be correct.
12:04:33 From  claudenozeres  to  Everyone : absent est un cas spécial—pas à utiliser pour tous (contraire à ceux qu’on voit on OGSL).
12:05:18 From  Virginie Roy  to  Everyone : Oui, ne pas appliquer aveuglément la pratique d'afficher des 0 (absences) dans les BD.
12:05:38 From  claudenozeres  to  Everyone : institutionCode = MLI_MLI = Institut Maurice-Lamontagne
12:07:04 From  claudenozeres  to  Everyone : Aussi EMDO code: 4160 https://edmo.seadatanet.org/report/4160
12:08:50 From  claudenozeres  to  Everyone : MarineRegions est plus océanographique. Pour le géographie (baies, rivières etc): https://www.nrcan.gc.ca/earth-sciences/geography/querying-canadian-geographical-names-database/9170
12:11:31 From  claudenozeres  to  Everyone : minimum et maximumdepthinmeters sont importants à inscrire car pourrait avoir un verbatimDepth, ou un depth venant du World Atlas ou IODC, etc (selon coordonnées) affiché aussi.
12:13:25 From  Gabriel Leblanc (OGSL)  to  Everyone : Les virgules peuvent occasionner certains problèmes lorsqu'un fichier est transféré en format CSV ou ramené d'un format CSV vers un autre format (xlsx, par exemple).
12:14:52 From  naomi tress  to  Everyone : https://obis.org/maptool/ l'utile pour construire un WKT
12:17:31 From  claudenozeres  to  Everyone : Je suggère ni virgules ni des caractères spéciaux (accents) en fichier des données (mieux des mettre en métadonnées). Permis, mais souvent n’affiche pas bien entre systèmes.
12:18:44 From  Gabriel Leblanc (OGSL)  to  Everyone : Oui, à l'OGSL, on encourage fortement les personnes qui nous partagent des données à ne pas utiliser de caractères spéciaux. Une variable "Taille (m)" pourrait prendre la forme suivante : taille_en_metre, par exemple.
12:18:58 From  Gabriel Leblanc (OGSL)  to  Everyone : _ et - ne sont pas considérés comme des caractères spéciaux.
12:23:37 From  Valérie Cypihot  to  Everyone : Donc on utilise le format intervalle plutôt que de faire 2 colonnes séparées pour timestart et timeEnd?
12:23:52 From  naomi tress  to  Everyone : utilise un /
12:24:02 From  naomi tress  to  Everyone : timestart/timeEnd
12:24:48 From  Valérie Cypihot  to  Everyone : super merci!
12:26:33 From  Gabriel Leblanc (OGSL)  to  Everyone : depuis 2015, si je ne me trompe pas
12:28:04 From  Jon Pye (OTN)  to  Everyone : de Pooter et al etait 2017 mais c'etait en developpement bien avant ca.
12:28:07 From  naomi tress  to  Everyone : aussi l'information d'equipment -mesh size (tow net size)-vitesse du navire-duration du 'tow'
12:29:20 From  Jon Pye (OTN)  to  Everyone : map tool est maintenant -> https://obis.org/maptool/#
12:29:32 From  claudenozeres  to  Everyone : Pas obligatoire pour publier sur OBIS, mais est le cas pour les données du gouvernement du Canada: 
license: http://creativecommons.org/licenses/by/4.0/legalcode
rightsHolder: Her Majesty the Queen in right of Canada, as represented by the Minister of Fisheries and Oceans
institutionID: http://www.seadatanet.org/urnurl/SDN:EDMO::4160 (pour l’IML).
12:30:08 From  Jon Pye (OTN)  to  Everyone : Quiz: https://mybinder.org/v2/gh/otn-workshops/obis-workshop-fr/HEAD?filepath=Quiz/notebooks/DwC%20Quiz.ipynb
12:31:34 From  Jon Pye (OTN)  to  Everyone : ils me dit toujours d'arreter du parler quand on fait les quiz :)
12:33:42 From  Virginie Roy  to  Everyone : j'aimerais poser une question générale sur les présentations de ce matin
12:38:14 From  ThorneMa  to  Everyone : Très bon point Virginie
12:40:59 From  Jon Pye (OTN)  to  Everyone : oui, on ne doit pas tout faire tout seul, mais on peut gagner du precision qui va simplifier les defis aux etapes suivantes.
12:41:51 From  ThorneMa  to  Everyone : De mon côté le quiz ne s'affiche pas
12:42:17 From  claudenozeres  to  Everyone : Sont des bons points—il est utile pour exposer le monde aux concepts, et en sachant que les diffuseurs vont vous aider à formatter tous les champs pour publication.
12:42:28 From  ThorneMa  to  Everyone : Ça marche merci :)
12:53:57 From  Jon Pye (OTN)  to  Everyone : ce n'est pas la seul cas ou le passage du temps va me preuver correcte!
12:54:33 From  Pauline Chauvet  to  Everyone : =)
12:56:05 From  Jon Pye (OTN)  to  Everyone : ou bien le gazetteer canadien que Claude nous ont montrer
12:56:22 From  Jon Pye (OTN)  to  Everyone : https://www.nrcan.gc.ca/earth-sciences/geography/querying-canadian-geographical-names-database/9170
12:56:49 From  Jon Pye (OTN)  to  Everyone : on est en train de amener du l'eau fraiche a OBIS mais c'est un proces!
13:05:26 From  Pauline Chauvet  to  Everyone : Je sais que parmi vous, certains travaillent avec des données d'imagerie. Cet article pourrait vous intéresser.https://www.frontiersin.org/articles/10.3389/fmars.2021.620702/full#F2
13:05:56 From  claudenozeres  to  Everyone : Merci Pauline!
13:05:56 From  ThorneMa  to  Everyone : Merci :)
13:06:09 From  Geneviève  to  Everyone : Merci beaucoup Pauline!
13:07:31 From  Geneviève  to  Everyone : désolée Naomi, j'ai mal entendu la question? ça concernait l'installation des packages R?
13:08:42 From  naomi tress  to  Everyone : retournee a 12:30 si vous voulez avoir d'aide avec d'installation des program et package pour demains
13:34:11 From  Jon Pye (OTN)  to  Everyone : install.packages('callr')
13:35:06 From  Jon Pye (OTN)  to  Everyone : on verra si on peut installer les dependences du facon manuel
13:39:00 From  Jon Pye (OTN)  to  Everyone : install.packages('processx')
13:39:02 From  claudenozeres  to  Everyone : Est-ce que la version R est un enjeu? Sandra est en 3.4. Je suis en v.4
13:39:39 From  naomi tress  to  Everyone : est-ce qu'il ya des autres gens besoin d'aide pour demain?
13:41:33 From  Jon Pye (OTN)  to  Everyone : c'est possible qu'on a besoin de R minimum 4.x, mois je suis sur 4.0.3
13:43:53 From  Jon Pye (OTN)  to  Everyone : je pense que la portail MPO peuvent installer R 4.x , si il y a des trucs pour ca j'ai aucun experience direct avec le portail :(
13:44:31 From  Jon Pye (OTN)  to  Everyone : 3.4.3 c'etait en 2017.
13:48:03 From  TURCOTTECH  to  Everyone : library(rnaturalearth)Error in library(rnaturalearth) :   aucun package nommé ‘rnaturalearth’ n'est trouvé> library(rnaturalearthdata)Error in library(rnaturalearthdata) :   aucun package nommé ‘rnaturalearthdata’ n'est trouvé> library(geosphere)Error in library(geosphere) :   aucun package nommé ‘geosphere’ n'est trouvé> library(stringr)> library(readr)> library(leaflet)> library(robis)> library(obistools)Error in library(obistools) :   aucun package nommé ‘obistools’ n'est trouvé> library(finch)Error in library(finch) : aucun package nommé ‘finch’ n'est trouvé
13:53:10 From  Pauline Chauvet  to  Everyone : install_github("iobis/robis")
13:59:41 From  Jon Pye (OTN)  to  Everyone : on peut faire devtools::find_rtools(T) pour voir si on a RTools proprement installee
14:01:10 From  naomi tress  to  Everyone : si vous n'etes pas la dit 'aye'
14:03:06 From  Virginie Roy  to  Everyone : sur l'heure du midi je suivais en parallèle un autre atelier de gestion de données par Québec-Océan et ils parlent de l'importance que chaque projet de recherche se définisse un Plan de gestion de données, maintenant la norme canadienne pour cela est https://portagenetwork.ca/
14:03:08 From  Jon Pye (OTN)  to  Everyone : si c'est apprendre comment faire tout ca ou revenir a l'aeroport, moi je sais ce que je veux faire.
